Kod sklepu;Kod segmentu;Data od;Data do;Nazwa planogramu;Wersja planogramu;Opis planogramu;Numer półki;Pozycja;Index;Nazwa;Liczba twarzy;Sposób ekspozycji
Text;Int;Text;Text;Text;Text;Text;Int;Int;Text;Text;Int;Int
shop_planogram_assignment.shop.codes;shop_planogram_assignment.segment.id;shop_planogram_assignment.start_date_time;shop_planogram_assignment.end_date_time;planogram.name;planogram.version;planogram.description;planogram_element.shelf;planogram_element.position;planogram_element.sku.index;planogram_element.sku.name;planogram_element.faces_count;planogram_element.stack_count
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;7;43;12004284;SOK WYCISK MARCH/ANANAS/KURKUMA 250...;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;7;44;12004482;SOK WYCISK MARCHEW, JABŁKO 250ML MW;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;7;45;12004452;SOK WYCISK TRUSKAWKA MALIN ACAI 250ML ...;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;7;46;12004451;SOK WYCISK JABŁKO CYTRYNA MIĘTA 250ML ...;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;7;47;12004497;SOK WYCISK BURAK MALINA 250ML MW;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;7;48;12002205;SOK Z MARCHWI I BANANA 330ML DELICADE;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;7;49;12001574;SOK MARCHWIOWY Z MIODEM 330ML DELICADE;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;7;50;20000231;SOKI W BUTELCE 7 DNIOWE MIX 1 REG;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;8;27;10985242;KROKIETY Z KAPUSTĄ I GRZYB 400G;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;8;28;12005461;ROŚLINNY BURGER 170G;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;8;29;12004496;DANIE MASSAMAN CURRY Z RYŻ. JAŚ.350G MW;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;8;30;12004562;PIEROGI Z MASCARPONE I SOS JAGOD 300G M...;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;8;31;12002232;NALEŚNIKI Z SEREM 300G MW;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;8;32;12002262;KOTLET CORDON BLEU 250G MW;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;9;13;12003614;ZUPA OGÓRKOWA 350G MW;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;9;14;12002255;OLIWKI ZIELONE W ZIOŁACH 90G MW;1;1
